Name,List,source
C1QA,aDC-N,stCancer
C1QB,aDC-N,stCancer
CD80,aDC-N,stCancer
FPR3,aDC-N,stCancer
HLA-DQA1,aDC-N,stCancer
IL12B,aDC-N,stCancer
CCL13,aDC-N,stCancer
CCL17,aDC-N,stCancer
CCL19,aDC-N,stCancer
CCL22,aDC-N,stCancer
MS4A1,B cell-N,azimuth
CD79A,B cell-N,azimuth
CD37,B cell-N,azimuth
CD79B,B cell-N,azimuth
LTB,B cell-N,azimuth
CD52,B cell-N,azimuth
TCL1A,B cell-N,azimuth
BANK1,B cell-N,azimuth
VPREB3,B cell-N,azimuth
POU2F2,B cell-N,azimuth
CD19,B cell-N,cellmarker
MS4A1,B cell-N,cellmarker
CD80,B cell-N,cellmarker
CD86,B cell-N,cellmarker
CD79A,B cell-N,cellmarker
PTPRC,B cell-N,cellmarker
CD19,B cell-N,stCancer
MS4A1,B cell-N,stCancer
CD79A,B cell-N,stCancer
KRT19,Bile duct cell-N,cellmarker
KRT7,Bile duct cell-N,cellmarker
SOX9,Cancer stem cell-T,cellmarker
TRO,Cancer stem cell-T,cellmarker
PROM1,Cancer stem cell-T,cellmarker
CD24,Cancer stem cell-T,cellmarker
EPCAM,Cancer stem cell-T,cellmarker
ICAM1,Cancer stem cell-T,cellmarker
NCAM1,Cancer stem cell-T,cellmarker
THY1,Cancer stem cell-T,cellmarker
ANPEP,Cancer stem cell-T,cellmarker
POU5F1,Cancer stem cell-T,cellmarker
DCLK1,Cancer stem cell-T,cellmarker
AFP,Cancer stem cell-T,cellmarker
CD44,Cancer stem cell-T,cellmarker
GPC3,Cancer stem cell-T,cellmarker
KLF8,Cancer stem cell-T,cellmarker
CTNNB1,Cancer stem cell-T,cellmarker
SOX2,Cancer stem cell-T,cellmarker
A2M,CD4+ cytotoxic T cell-N,cellmarker
ABCA2,CD4+ cytotoxic T cell-N,cellmarker
ABI3,CD4+ cytotoxic T cell-N,cellmarker
ADGRG1,CD4+ cytotoxic T cell-N,cellmarker
ADGRG5,CD4+ cytotoxic T cell-N,cellmarker
ADRB2,CD4+ cytotoxic T cell-N,cellmarker
AGPAT4,CD4+ cytotoxic T cell-N,cellmarker
AHNAK,CD4+ cytotoxic T cell-N,cellmarker
AKR1C3,CD4+ cytotoxic T cell-N,cellmarker
APMAP,CD4+ cytotoxic T cell-N,cellmarker
ARL4C,CD4+ cytotoxic T cell-N,cellmarker
ARL5A,CD4+ cytotoxic T cell-N,cellmarker
C12orf75,CD4+ cytotoxic T cell-N,cellmarker
C1orf21,CD4+ cytotoxic T cell-N,cellmarker
CCL4,CD4+ cytotoxic T cell-N,cellmarker
CCL5,CD4+ cytotoxic T cell-N,cellmarker
CD244,CD4+ cytotoxic T cell-N,cellmarker
CD300A,CD4+ cytotoxic T cell-N,cellmarker
CEP78,CD4+ cytotoxic T cell-N,cellmarker
CHST12,CD4+ cytotoxic T cell-N,cellmarker
CST7,CD4+ cytotoxic T cell-N,cellmarker
CTSW,CD4+ cytotoxic T cell-N,cellmarker
CX3CR1,CD4+ cytotoxic T cell-N,cellmarker
DSTN,CD4+ cytotoxic T cell-N,cellmarker
EFHD2,CD4+ cytotoxic T cell-N,cellmarker
FCGR3A,CD4+ cytotoxic T cell-N,cellmarker
FCRL6,CD4+ cytotoxic T cell-N,cellmarker
FGFBP2,CD4+ cytotoxic T cell-N,cellmarker
FGR,CD4+ cytotoxic T cell-N,cellmarker
FUT11,CD4+ cytotoxic T cell-N,cellmarker
GK5,CD4+ cytotoxic T cell-N,cellmarker
GLUL,CD4+ cytotoxic T cell-N,cellmarker
GNLY,CD4+ cytotoxic T cell-N,cellmarker
GSTP1,CD4+ cytotoxic T cell-N,cellmarker
GZMA,CD4+ cytotoxic T cell-N,cellmarker
GZMB,CD4+ cytotoxic T cell-N,cellmarker
GZMH,CD4+ cytotoxic T cell-N,cellmarker
GZMM,CD4+ cytotoxic T cell-N,cellmarker
HOPX,CD4+ cytotoxic T cell-N,cellmarker
KLRG1,CD4+ cytotoxic T cell-N,cellmarker
LGR6,CD4+ cytotoxic T cell-N,cellmarker
LILRB1,CD4+ cytotoxic T cell-N,cellmarker
LITAF,CD4+ cytotoxic T cell-N,cellmarker
LLGL2,CD4+ cytotoxic T cell-N,cellmarker
LPCAT1,CD4+ cytotoxic T cell-N,cellmarker
LYAR,CD4+ cytotoxic T cell-N,cellmarker
MBP,CD4+ cytotoxic T cell-N,cellmarker
MYBL1,CD4+ cytotoxic T cell-N,cellmarker
MYO1F,CD4+ cytotoxic T cell-N,cellmarker
NKG7,CD4+ cytotoxic T cell-N,cellmarker
NPRL2,CD4+ cytotoxic T cell-N,cellmarker
OSBPL5,CD4+ cytotoxic T cell-N,cellmarker
PAFAH2,CD4+ cytotoxic T cell-N,cellmarker
PATL2,CD4+ cytotoxic T cell-N,cellmarker
PLEK,CD4+ cytotoxic T cell-N,cellmarker
PLEKHA1,CD4+ cytotoxic T cell-N,cellmarker
PLEKHG3,CD4+ cytotoxic T cell-N,cellmarker
PRF1,CD4+ cytotoxic T cell-N,cellmarker
PROK2,CD4+ cytotoxic T cell-N,cellmarker
PRSS23,CD4+ cytotoxic T cell-N,cellmarker
PTCH1,CD4+ cytotoxic T cell-N,cellmarker
PTGDS,CD4+ cytotoxic T cell-N,cellmarker
PTPN4,CD4+ cytotoxic T cell-N,cellmarker
PXN,CD4+ cytotoxic T cell-N,cellmarker
PZP,CD4+ cytotoxic T cell-N,cellmarker
RAB29,CD4+ cytotoxic T cell-N,cellmarker
RAP1B,CD4+ cytotoxic T cell-N,cellmarker
RAP2B,CD4+ cytotoxic T cell-N,cellmarker
RASSF1,CD4+ cytotoxic T cell-N,cellmarker
RUNX3,CD4+ cytotoxic T cell-N,cellmarker
S1PR5,CD4+ cytotoxic T cell-N,cellmarker
SAMD3,CD4+ cytotoxic T cell-N,cellmarker
SH3BP5,CD4+ cytotoxic T cell-N,cellmarker
SLAMF7,CD4+ cytotoxic T cell-N,cellmarker
SLC2A1,CD4+ cytotoxic T cell-N,cellmarker
SPN,CD4+ cytotoxic T cell-N,cellmarker
SPON2,CD4+ cytotoxic T cell-N,cellmarker
SUN2,CD4+ cytotoxic T cell-N,cellmarker
SYNE1,CD4+ cytotoxic T cell-N,cellmarker
SYNE2,CD4+ cytotoxic T cell-N,cellmarker
TARP,CD4+ cytotoxic T cell-N,cellmarker
TGFBR3,CD4+ cytotoxic T cell-N,cellmarker
TM4SF19,CD4+ cytotoxic T cell-N,cellmarker
TMEM181,CD4+ cytotoxic T cell-N,cellmarker
TTC16,CD4+ cytotoxic T cell-N,cellmarker
TTC38,CD4+ cytotoxic T cell-N,cellmarker
VCL,CD4+ cytotoxic T cell-N,cellmarker
ZEB2,CD4+ cytotoxic T cell-N,cellmarker
ZNF683,CD4+ cytotoxic T cell-N,cellmarker
CD28,CD4+ memory T cell-N,stCancer
CD40LG,CD4+ memory T cell-N,stCancer
CCR4,CD4+ memory T cell-N,stCancer
CTLA4,CD4+ memory T cell-N,stCancer
GPR15,CD4+ memory T cell-N,stCancer
GZMA,CD4+ memory T cell-N,stCancer
GZMK,CD4+ memory T cell-N,stCancer
HMGB2,CD4+ memory T cell-N,stCancer
PDCD1,CD4+ memory T cell-N,stCancer
RBL2,CD4+ memory T cell-N,stCancer
CD226,CD4+ memory T cell-N,stCancer
GPR171,CD4+ memory T cell-N,stCancer
TRAT1,CD4+ memory T cell-N,stCancer
UBASH3A,CD4+ memory T cell-N,stCancer
ARHGAP15,CD4+ memory T cell-N,stCancer
CD27,CD4+ naive T cell-N,stCancer
CLC,CD4+ naive T cell-N,stCancer
CTSW,CD4+ naive T cell-N,stCancer
DNAJB1,CD4+ naive T cell-N,stCancer
RBL2,CD4+ naive T cell-N,stCancer
HAUS3,CD4+ naive T cell-N,stCancer
ANKRD55,CD4+ naive T cell-N,stCancer
ZNF394,CD4+ naive T cell-N,stCancer
CHMP7,CD4+ naive T cell-N,stCancer
CD3D,CD4+ T cell-N,cellmarker
CD3E,CD4+ T cell-N,cellmarker
CD3G,CD4+ T cell-N,cellmarker
CD4,CD4+ T cell-N,cellmarker
CD2,CD4+ T cell-N,stCancer
CD3D,CD4+ T cell-N,stCancer
CD3E,CD4+ T cell-N,stCancer
CD3G,CD4+ T cell-N,stCancer
CD5,CD4+ T cell-N,stCancer
CD7,CD4+ T cell-N,stCancer
CD27,CD4+ T cell-N,stCancer
CD40LG,CD4+ T cell-N,stCancer
CTLA4,CD4+ T cell-N,stCancer
GOLGA4,CD4+ T cell-N,stCancer
TRAF1,CD4+ T cell-N,stCancer
CD96,CD4+ T cell-N,stCancer
ICOS,CD4+ T cell-N,stCancer
GPR171,CD4+ T cell-N,stCancer
TRAT1,CD4+ T cell-N,stCancer
FOXP3,CD4+ T cell-N,stCancer
SIRPG,CD4+ T cell-N,stCancer
RIC3,CD4+ T cell-N,stCancer
CD40LG,CD4+ Tcm-N,stCancer
